,tipo_arma,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Total
1,Aircraft,,,,,,,,,,,1.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,,,,,13.0,54.0,46.0,19.0,38.0,,8.0,11.0,55.0,58.0,23.0,42.0,149.0,144.0,107.0,103.0,115.0,104.0,69.0,86.0,212.0,87.0,100.0,206.0,140.0,35.0,39.0,8.0,18.0,96.0,52.0,109.0,115.0,142.0,147.0,186.0,215.0,322.0,165.0,436.0,465.0,427.0,388.0,279.0,189.0,283.0,383.0,351.0,6897
2,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,25.0,43.0,35.0,9.0,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,1.0,32.0,,3.0,5.0,22.0,2.0,183
3,Artillery,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,3.0,,,,,,1.0,1.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,13.0,2.0,,,,,,,1.0,,,,2.0,20.0,,56
4,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1
5,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,20.0,14.0,23.0,,,,,59.0,52.0,39.0,13.0,13.0,13.0,13.0,265
6,Ships,,,,,,,,,,,,,,,,14.0,14.0,,,,70.0,140.0,,,70.0,210.0,,6.0,,18.0,,118.0,195.0,294.0,190.0,,,,35.0,70.0,,,,17.0,36.0,,12.0,426.0,32.0,11.0,8.0,,,,,,756.0,441.0,427.0,749.0,24.0,616.0,86.0,3.0,488.0,479.0,,499.0,499.0,,523.0,246.0,7818
8,Total,,,,,,,,,,,1.0,5.0,6.0,6.0,7.0,21.0,21.0,7.0,7.0,6.0,70.0,140.0,4.0,4.0,84.0,267.0,46.0,25.0,38.0,18.0,10.0,130.0,251.0,352.0,242.0,85.0,183.0,153.0,142.0,176.0,115.0,104.0,69.0,103.0,248.0,87.0,111.0,632.0,171.0,45.0,47.0,8.0,18.0,96.0,52.0,109.0,871.0,601.0,601.0,950.0,262.0,938.0,251.0,439.0,953.0,966.0,471.0,817.0,704.0,303.0,962.0,612.0,15220
